4-Aminobutansäure	 gamma-aminobutyric acid (GABA) 
Abmachung	 deal (agreement, arrangement)
Abnahme	 abatement
Abnehmer	 consumer, buyer
Abneigung	 aversion (dislike)
Abo	 Short form of Abonnement
Abolitionismus	 abolitionism
Abonnement	 subscription
Abonnent	 subscriber
Abordnungsgeld	 relocation money
Abort	 restroom, loo, toilet
Abort	 abortion, abort
Abrahamitische Religion	 Abrahamic religion
Abrasion	 abrasion (act of abrading)
Abrasionsplatte	 abrasion platform (loping or nearly flat bedrock surface extending out from the foot of a marine cliff under shallow water of a breaker (wave) zone)
Abrieb	 abrasion, wear
Abrieb	 attrition
Abriss	 demolition
Abriss	 summary
Absage	 refusal, rejection
Absatzbewegung	 disengagement
Absatzbewegung	 military retreat
Absatzzeichen	 pilcrow, ¶ (a paragraph mark)
Absaugung	 suction
Absaugung	 extraction (by suction)
Abschaffung	 abolition
Abschattung	 shading, shadowing
Abschaum	 dregs, scum (the worst and lowest)
Abscheidung	 precipitation, deposition
Abscheidung	 sequestration
Abscheu	 abhorrence, abomination
Abscheulichkeit	 abomination
Abscheulichkeit	 hideousness
Abschied	 parting, farewell
Abschirmung	 shield, shielding
Abschirmung	 screen, screening
Abschirmung	 protection
Abschlag	 discount, rebate
Abschlag	 advance payment
Abschleppwagen	 tow truck
Abschluss	 end (finish)
Abschluss	 graduation (the action or process of graduating)
Abschlussprüfung	 final (test or examination given at the end of a term or class)
Abschnitt	 section (cutting)
Abschnitt	 paragraph
Abschnitt	 segment
Abschottung	 partition, bulkhead
Abschottung	 seclusion (of a person, a group, etc)
Abschottung	 compartmentalisation (of a market)
Abschottung	 isolation (of oneself, the desired result of isolationism)
Abschrecken	 quenching (of steel)
Abschreckung	 deterrence
Abschreckung	 terror
Abschub	 expulsion
Abschußring	 literally, "hit ring". Refers to markings made on the sides of antiaircraft guns indicating how many enemy planes had been shot down.
Abschwung	 downturn, downswing
Abseitstor	 offside|Offside goal.
Absender	 sender
Absicht	 intention
Absicht	 intent
Absiedler	 emigrants
Absinken	 subsidence
Absinken	 decline
Absinth	 absinth (liquor)
Absolutismus	 absolutism
Absolvent	 alumnus, graduate (of an educational institution)
Absolventin	 alumnus, graduate (of an educational institution)
Absorber	 absorber
Absorption	 absorption (act or process of absorbing, either liquid or light)
Absorptionsfähigkeit	 absorbency
Abspaltung	 secession
Absperre	 closing off, dismissal
Absperrhahn	 stopcock
Abstammung	 descent, ancestry, lineage, parentage, genealogy
Abstammungsbescheid	 genealogical certificate. Used during World War II to prove Aryan descent
Abstand	 interspace, spacing, distance, interval
Absterben	 dieback
Abstieg	descent
Abstimmung	 vote
Abstinenz	 abstinence (the act or practice of abstaining)
Abstoßung	 repulsion
Abstoßung	 rejection
Abstrahlung	 radiation, emission
Abstrebung	 buttress, base
Absturz	 an accident caused by falling down off something
Absturz	 plane crash 
Abständen	 Dative plural form of '''Abstand'''.
Absurdität	 absurdity
Abszess	 abscess
Abszeß	 Old spelling of Abszess
Abszisse	 abscissa (first of two coordinates)
Absättigung	 saturation
Abt	 abbot
Abtei	 abbey
Abteil	 compartment
Abteilung	 department
Abteilung	 division
Abteilung	 battalion
Abtransport	 transportation
Abtreibung	 abortion (of a baby)
Abtrennung	 separation, detachment
Abtrennung	 partition, secession
Abulie	 The condition abulia, absence of will-power or decisiveness
Abwanderung	 emigration
Abwanderungsabgabe	 emigration fee
Abwasser	 wastewater
Abwasser	 water contaminated from human usage; sewage
Abwasserreinigung	 wastewater / sewage treatment
Abwechslung	 diversion, change
Abwehr	 defence: action to stop an attack
Abwehrschlacht	 defensive battle
Abwehrstoff	 antigen, antibody
Abwehrstoff	 antitoxin
Abweichung	 aberration, deviation
Abwesenheit	 absence (state of being absent)
Abwesenheitspfleger	 trustee during absence of owner
Abzeichen	 badge (distinctive mark)
Abzocke	 rip-off
Abzug	 drawback
Abzug	 deduction
Abänderung	 alteration, change
Abänderung	 modification, revision
Abänderung	 amendment
Abänderung	 commutation
Acetaldehyd	 acetaldehyde (the organic compound CH<sub>3</sub>CHO)
Acetessigsäure	 acetoacetic acid
Aceton	 acetone
Acetylcholinesterase	 acetylcholinesterase
Acetylen	 acetylene
Acetylid	 acetylide
Acetylsalicylsäure	 acetylsalicylic acid (acetate ester of salicylic acid; aspirin)
Achat	 agate
Achillesferse	 Achilles heel
Achillessehne	 Achilles tendon
Achse	 axis
Achse	 axle
Achse des Bösen	 axis of evil
Achsel	 shoulder
Achsel	 the part of body under the shoulder, armpit, axilla, oxter
Achselhöhlen	''plural'' of Achselhöhle (armpit)
Acht	 the numeral sign 8
Acht	 a figure eight shape;   a bicycle wheel bent out of shape
Acht	 attention
Achteck	 octagon
Achtel	 an eighth (one of eight equal parts of a whole)
Achterbahn	 rollercoaster
Achtung	 attention
Achtung	 esteem
Achtung	 respect
Achtung	 watch out, attention, warning or caution.
Achäne	 achene (small dry fruit)
Acidität	 acidity (the quality or state of being acid)
Ackerbau	 farming, agriculture
Ackerbaukunde	 agronomy 
Ackerboden	 soil
Ackerboden	 farmland
Ackerkrume	 topsoil
Ackerkrume	 tilled soil
Ackerland	 farmland
Acrylglas	 Perspex, Plexiglass, Lucite (''polymethyl methacrylate'')
Adamsapfel	Adam's apple
Adapter	 adapter (device or application used to achieve operative compatibility)
Adaptierte	 adaptee
Additiv	 additive
Adel	 nobility
Adeliepinguin	 Adelie penguin
Adelung	 ennoblement
Adenin	 ''(biochemistry)'' adenine (C<sub>10</sub>H<sub>13</sub>N<sub>5</sub>O<sub>4</sub>, a base in DNA)
Ader	 blood vessel
Ader	 a vein of metallic ore that lies within definite boundaries, or within a fissure
Aderlass	 bloodletting ''(medical and figurative)''
Adhäsion	 adhesion
Adiuretin	 adiuretin, argipressin, vasopressin
Adj.	 Adjektiv
Adler	 eagle
Adlerbussard	 long-legged buzzard (Buteo rufinus)
Adlerjunges	 eaglet
Administration	 administration
Administrator	 administrator, admin
Adoleszenz	 adolescence
Adoption	 adoption (voluntary acceptance of a child of other parents to be the same as one's own child)
Adrenalin	 adrenaline
Adresse	 address
Adsorption	 adsorption
Adstringens	 astringent
Adventskalender	 Advent calendar
Adventssonntag	 Advent Sunday
Advocatus Diaboli	 devil's advocate
Advokat	 advocate, lawyer
Aerobic	 aerobics
Aerodynamik	 aerodynamics
Aerogel	 aerogel
Aerosol	 aerosol (dispersion)
Affe	 monkey
Affe	 ape
Affekt	 affect (strong emotional experience)
Affenbrot	 baobab fruit, monkey bread
Affenbrotbaum	 monkey bread, baobab tree (Adansonia)
Affenente	 freckled duck (Stictonetta naevosa)
Affenzahn	 breakneck speed
Affinerie	 refinery (especially a place where metal is purified)
Affinität	 affinity
Affix	 affix
Affäre	 affair
Affäre	 fling
Afghane	 Afghan, male person from Afghanistan or of Pashtun descent
Afghane	 Afghan hound (Afghanischer Windhund)
Afghane	 a type of black hashish (Schwarzer Afghane "Black Afghan")
Afghanischer Windhund	 Afghan hound
Afrikaner	 African (male person)
Afrikanerin	 a female African
Afroamerikaner	 African-American (A black American)
After	 hindquarters, backside
Aftershave	 aftershave (a lotion used after finishing shaving)
Agenda	 agenda (a temporally organized plan or list of things to be addressed)
Agens	 agent
Agent	 agent (intermediary for certain services, such as for artistic performances or public relations)
Agent	 agent, spy (person working for a secret service)
Agent Provocateur	 agent provocateurEnglish|agent provocateur
Agententhriller	 spy thriller
Agentur	 agency
Agglomeration	 agglomeration
Aggregat	 aggregate
Aggregat	 unit
Aggression	 aggression
Aggressivität	 aggressiveness
Aggressor	 aggressor
Agitator	 agitator
Agnostiker	 agnostic
Agnostikerin	 (female) agnostic
Agnostizismus	agnosticism
Agonie	 (mortal) agony, (death) throes
Agoraphobie	 agoraphobia (fear of open spaces)
Agrarrohstoff	 agricultural commodity
Agrikultur	 agriculture
Agrochemikalie	 agrochemical
Agronomie	 agronomy 
Ahle	 awl
Ahn	 ancestor
Ahndung	 punishment (''especially legal'')
Ahndung	 (''literary or dated'') ''Ahnung'': premonition
Ahnenforschung	 genealogy
Ahnenprobe	 proof of ancestry
Ahnenschein	 genealogical document
Ahnentafel	 genealogical chart
Ahnung	 anticipation, inkling
Ahnung	 clue, idea, notion
Ahorn	 A maple ''Acer''; the common tree
Ahornsirup	 maple syrup
Airbag	 airbag
Airport	 airport
Akademie	 academy (learned society)
Akazie	 acacia (tree)
Akelei	 columbine (any plant of the genus Aquilegia)
Akkadier	 Akkadian, man from Akkad
Akkadierin	 Akkadian, woman from Akkad
Akkadisch	 Akkadian, the Akkadian language
Akkord	 piecework
Akkordeon	 accordion
Akkordeonspieler	 accordionist (player of an accordion)
Akkordeonspielerin	 (female) accordionist
Akkretionsscheibe	 accretion disk
Akku	 rechargeable battery
Akkumulation	 accumulation
Akkumulator	 accumulator (battery)
Akne	 acne
Akolyth	 ''(Catholic church)'' acolyte (assistant to carry the wine and water and the lights at the Mass)
Akquise	 Short form of Akquisition
Akrobat	 acrobat
Akrobatik	 acrobatics
Akronym	 acronym (word formed by initial letters)
Akt	 act
Akt	 painting of a naked person
Akte	 file (collection of papers)
Aktenzeichen	 file number, reference number
Akteur	 actor
Aktiengesellschaft	 joint-stock company, Public Limited Liability Company, a company owned by shareholders publicly traded at the stock market
Aktinolith	 actinolite
Aktion	 action (something done so as to accomplish a purpose)
Aktionismus	 actionism
Aktionspotential	 action potential
Aktionär	 shareholder
Aktivator	 activator
Aktivierung	 activation
Aktivismus	 activism
Aktivistin	 a female activist
Aktivität	 activity
Aktivkohle	 activated carbon, activated charcoal
Aktualisierung	 update
Aktualismus	 actualism
Akupunktur	 acupuncture
Akustik	 acoustic, acoustics
Akustikkoppler	 acoustic coupler
Akut	 acute
Akzent	 accent (modulation of the voice)
Akzeptanz	 acceptance, accepting
Akzeptor	 acceptor
Alanin	 alanine (nonessential amino acid; C<sub>3</sub>H<sub>7</sub>NO<sub>2</sub>)
Alarm	 alert, alarm
Alarmismus	 alarmism
Alarmsignal	 alarm signal
Alb	 (''dial.'') mountainous area, upland.
Albaner	 Albanian (male from Albania)
Albanerin	 Albanian (female from Albania)
Albanesisch	 the Albanian language
Albanisch	 Albanian language
Albatros	 albatross
Albedo	 albedo
Albinismus	 albinism
Albtraum	 nightmare
Album	 album
Albumin	 albumin (type of proteins)
Alchemie	 alchemy
Alchemist	 alchemist (one who practices alchemy)
Alchimie	 alchemy
Alchimist	 alchemist
Ale	 ale
Algebra	 algebra
Algenkunde	 phycology (the scientific study of algae)
Algerier	 Algerian (A man from Algeria)
Algerierin	 Algerian (female person from Algeria)
Algologie	 algology (the scientific study of algae)
Algologie	 phycology 
Algorithmus	 algorithm (well-defined procedure)
Alibifrau	 tokenAdjective|token woman
Alinea	 pilcrow, ¶ (a paragraph mark)
Alkalilauge	 lye
Alkaloid	 alkaloid
Alkohol	 alcohol, ethanol
Alkoholiker	 alcoholic
Alkoholikerin	 (female) alcoholic
Alkoholismus	 alcoholism
Alkoholkranke	 alcoholic
Alkoholvergiftung	 alcohol poisoning
All	 cosmos
Allee	 avenue; street that is bordered on both sides by trees
Allegorie	 allegory
Allegorik	 (technique of) translating something into an allegory
Allergen	 allergen
Allergie	 allergy
Allerlei	 potpourri, medley
Allesfresser	 omnivore
Alleskönner	 jack-of-all-trades
Allgemeinbefinden	 general condition
Allgemeinbildung	 general education, general knowledge
Allgemeinheit	 generality
Allgemeinwissen	 general knowledge
Allheilmittel	 panacea, cure-all
Allianz	 alliance
Alligator	 alligator (''animal'')
Allotriophagie	 allotriophagy; pica
Allotropie	 allotropy (having multiple atomic structures)
Alltag	 everyday life
Allusion	 allusion
Allwissenheit	 omniscience
Alm	 alpine pasture
Alm	 alp
Almhütte	 Alpine hut
Almosen	 alms
Alpaka	 alpaca (mammal)
Alpaka	 alpaca, alpacca, nickel silver (metal alloy)
Alpaka	 a type of guinea pig with long hair
Alpenglühen	 alpenglow
Alpenveilchen	 cyclamen (flower)
Alpha	 alpha (Greek letter)
Alphabetisierung	 alphabetization / alphabetisation
Alphabetisierung	 literacy
Alphabetismus	 alphabetism (form of literacy)
Alphastrahl	 alpha ray
Alphastrahlung	 alpha radiation
Alphorn	 alphorn
Alpinismus	 alpinism
Alraune	 mandrake (botany)
Als	 creek, drainage channel
Alt	 a type of beer, typical to the Rhineland region.
Altar	 altar (''A table or similar structure used for religious rites.'')
Altarmenisch	 Old Armenian (the Old Armenian language)
Altarweihe	 ''(religion)'' consecration of the altar
Altbau	 old building
Altbauwohnung	 apartment in an old building
Alte	 old woman
Altenglisch	 Anglo-Saxon (the Old English language)
Alter	 age, old age
Alter	 antiquity
Alter	 epoch, age
Alter Ego	 alter ego
Alterität	 alterity
Alternative	 alternative
Alternative	 option, choice
Altersbestimmung	 dating (age determination)
Altersdiskriminierung	 ageism (the treating of a person or people differently from others based on assumptions or stereotypes relating to their age)
Altersgruppe	 age group
Altersheilkunde	 geriatrics
Altersheilkunde	 geriatric medicine
Altersheim	 retirement home
Altersunterschied	 age difference
Alterszahnheilkunde	 gerodontia 
Alterszahnheilkunde	 gerodontics (the branch of dentistry dealing with aging and the elderly)
Alterszahnheilkunde	 gerodontology
Altertum	 antiquity
Altertumskunde	 archaeology (archeology)
Altertumskunde	 antiquity studies
Altertumskunde	 classical studies
Alterung	 ageing
Alterungsprozess	 ageing, senescence
Altfranzösisch	 Old French (the Old French language)
Altfriesisch	 Old Frisian (the Old Frisian language)
Altgeorgisch	 Old Georgian (the Old Georgian language)
Altgriechisch	 Ancient Greek (language)
Althochdeutsch	 Old High German (a historical form of German)
Altirisch	 Old Irish (the Old Irish language)
Altisländisch	 Old Icelandic (the Old Icelandic language)
Altjapanisch	 Old Japanese (the Old Japanese language)
Altkatalanisch	 Old Catalan (the medieval Catalan language)
Altkirchenslawisch	 Old Church Slavonic (the Old Church Slavonic language)
Altkoreanisch	 Old Korean (the Old Korean language)
Altlatein	 Old Latin (language)
Altlateinisch	 Old Latin (language)
Altmaterial	 recyclable materials
Altmetall	 scrap metal
Altniederdeutsch	 Old Saxon, Old Low German (language)
Altnorwegisch	 Old Norwegian (the Old Norwegian language)
Altostslawisch	 Old East Slavic (the Old East Slavic language)
Altpersisch	 Old Persian (the Old Persian language)
Altportugiesisch	 Old Portuguese (the Old Portuguese language)
Altpreußisch	 Old Prussian (the Old Prussian language)
Altruismus	 altruism
Altruist	 altruist
Altschwedisch	 Old Swedish (the Old Swedish language)
Altspanisch	 Old Spanish (the Old Spanish language)
Altstadt	 historic city center
Altsächsisch	 Old Saxon (the Old Saxon language)
Altwasser	 oxbow lake
Altweibersommer	 Indian summer (a stretch of warm days in autumn)
Alu	 aluminium
Alufolie	 aluminium foil
Aluminium	 aluminium (atomic number 13)
Aluminiumblech	 aluminium sheet
Aluminiumdruckguss	 die-cast aluminium
Aluminiumfamilie	 aluminium family
Aluminiumfolie	 foil made of aluminium.
Aluminiumgeschirr	 aluminium utensil
Aluminiumgusslegierung	 aluminium casting alloy
Aluminiumherstellung	 aluminium production
Aluminiumlegierung	 aluminium alloy
Aluminiumleichtbau	 lightweight aluminium (construction material)
Aluminothermie	 aluminothermy
Alzheimer-Krankheit	 Senile dementia of Alzheimer’s type.  Alzheimer's Disease|Alzheimer’s Disease.
Amalgam	 amalgam (alloy containing mercury)
Amarant	 amaranth, pigweed
Amaretto	 The complex, sweet-bitter, almond-flavoured liqueur amaretto
Amaryllis	 amaryllis
Amazonien-Tropfenameisenwürger	 Amazonian antshrike
Ambiente	 ambiance
Ambiguität	 ambiguity
Ambition	 ambition for some particular achievement
Ambivalenz	 ambivalence
Ambra	 ambergris
Ambrosia	 ambrosia (food of gods or delicious foods)
Ameise	 ant
Ameisenbär	 anteater
Ameisenhaufen	 anthill (a home built by ants resembling a small hill)
Ameisenhügel	 anthill (a home built by ants resembling a small hill)
Ameisenigel	 echidna, spiny anteater
Ameisenkönigin	 A queen ant, reproductive female ant
Ameisenwürger	 antshrike
Amen	 The formula amen
American Football	 American football; football (in US)
Americium	 americium
Amerikaner	 a (male) American
Amerikanerin	 American (female person born in or citizen of the USA)
Amerikanisierung	 Americanization, Americanisation
Amerikanismus	 Americanism
Amerikanistik	 American studies (academic study of language and literature of North America)
Amethyst	 amethyst
Amethysttäubling	 Russula amethystina, a conspicuous mushroom
Aminogramm	 aminogram
Aminosäure	 amino acid
Amme	 wet nurse
Ammenmärchen	 old wives' tale
Ammoniak	 ammonia
Ammoniaklösung	 ammonia solution (household ammonia)
Ammoniumion	 ammonium ion
Amnesie	 amnesia
Amok laufen	 to run amok.
Ampel	 traffic light
Ampelographie	 ampelography (science of grapevine cultivars)
Ampere	 The ampere, unit of electrical current
Ampfer	 sorrel (plant)
Amphibie	 amphibian (vertebrate)
Amphibienfahrzeug	 duck (amphibious vehicle)
Amphiprostylos	 amphiprostyle (having columns at either end but not along the sides)
Amphore	 amphora (a two handled jar with a narrow neck)
Amphoter	 dopant (for semiconductors)
Amplitude	 amplitude (mathematics, physics)
Amplitudenmodulation	 amplitude modulation
Ampulle	 ampoule (small glass vial)
Amputation	 amputation
Amputierte	 amputee
Amsel	 blackbird
Amt	 office
Amtsinhaber	 (male) officeholder, incumbent
Amtsinhaberin	 (female) officeholder, incumbent
Amtsleiter	 commissioner
Amtsschimmel	 A surplus of bureaucracy, red tape.
Amtsträger	 authority holder
Amtswalter	 department manager
Amtszeit	 term, office term
Amurleopard	 Amur leopard, Panthera pardus orientalis
Amylase	 amylase (type of enzyme)
Amöbe	 amoeba
Amüsement	 amusement
Anabolismus	 anabolism
Anachronismus	 anachronism
Anagramm	 anagram
Anakonda	 anaconda
Analgetikum	 analgesic (medicine that reduces pain)
Analogie	 analogy (similar example as explanation)
Analogon	 analogue
Analogon	 analogy
Analoguhr	 analog clock, analog watch
Analphabet	 illiterate (an illiterate person)
Analphabetin	 illiterate (a female illiterate person)
Analphabetismus	 illiteracy
Analverkehr	 anal sex (sex involving the anus)
Analyse	 analysis
Analysemethode	 method of analysis
Analyst	 business analyst
Analytik	 analytics
Anamnese	 anamnesis, figurally: the history of a concept
Anapher	 ''ling.'' anaphora.
Anaphrodisiakum	 anaphrodisiac
Anarchie	 anarchy
Anarchismus	 anarchism
Anarchist	 anarchist (person, m) (female Anarchistin)
Anarchistin	 anarchist (person, female)
Anarchosyndikalismus	 anarcho-syndicalism
Anatom	 dissector
Anatomie	 anatomy department|Anatomy department, anatomical institute.
Anatomie	 treatise|Treatise on the science of anatomy.
Anbau	 extension, annex
Anbauschlacht	 building campaign
Anbetung	 worship
Anbieter	 provider
Anbieter	 vendor
Anbieter	 supplier
Anblick	 view, sight, look
Anbohren	 spudding, drilling
Anchorman	 The main host of a television or radio program, particularly one relating to the broadcast of news: anchorman.
Andachtsbild	 devotional image (often a painting or sculpture that depicts the themes of Christian grief and suffering, such as the Pietà, intended to encourage meditation).
Andorraner	 Andorran (man from Andorra)
Andorranerin	 Andorran (woman from Andorra)
Andragogik	 andragogy
Androide	 android
Anerkennung	 appreciation (a just valuation or estimate of merit, worth, weight, etc.; recognition of excellence)
Anerkennung	 recognition
Aneurysma	 aneurysm
Anfahrt	 approach by car
Anfahrt	 access road, access route
Anfall	 seizure, attack ''(medical or emotional)''
Anfang	 start, beginning, origin
Anfeindung	 hostility
Anfeindung	 an instance of hostilities; a hostile action; a confrontation or attack
Anforderung	 request
Anforderung	 requirement
Anfrage	 inquiry
Anfälligkeit	 susceptibility, vulnerability, predisposition
Anfälligkeit	 sensitivity
Anfänger	 beginner, novice
Anfängerin	 a female beginner
Anführer	 leader, head, chief, commander; person in charge of a group or organisation
Anführerin	 female leader, head, chief, commander; female in charge of a group or organisation
Angabe	 specification, declaration, statement
Angeber	 bragger, boaster, swaggerer, showoff
Angeberei	 showing-off
Angebot	 offer
Angehörigkeit	 membership, affiliation
Angeklagte	 accused (defendant)
Angeklagter	 defendant (person prosecuted or sued)
Angel	 fishing rod
Angelegenheit	 matter, issue, affair
Angelhaken	fishhook
Angelika	 angelica
Angelrute	 fishing rod
Angesicht	 countenance, visage, face
Angestellte	 employee
Angiotensin	 angiotensin
Angleichung	 adaption, adjustment
Angler	 angler
Anglerfisch	 anglerfish
Anglikaner	 Anglican
Anglikanerin	 Anglican woman
Anglistik	 English studies
Anglizismus	 anglicism
Anglo-Friesisch	 Anglo-Frisian (language)
Anglonormannisch	 Anglo-Norman (language)
Angolaner	 Angolan (person from Angola or of Angolan descent)
Angolanerin	 Angolan (woman from Angola or of Angolan descent)
Angreifer	 attacker (someone who attacks)
Angreiferin	 a female attacker
Angriff	 attack
Angriffsfläche	 target
Angst	 baseless fear (in contrast to Furcht, which has a current reason, though this difference isn't really visible in the language of German uses)
Angsthase	 a coward
Anhalter	 hitchhiker
Anhaltspunkt	 clue (information that may lead one to a certain point or conclusion)
Anhang	 addendum
Anhang	 supplement
Anhang	 attachment (e.g., of an email)
Anhang	 appendage
Anhydrid	 anhydride
Anhängekalkulation	 correction of a calculation
Anhänger	 follower, fan
Anhänger	 pendant
Anhängerkupplung	 hitch ''(connection point for a trailer)''
Anhängern	 dative plural of Anhänger
Anhängsel	 appendage, attachment
Anhäufung	 accumulation (act of accumulating, the state of being accumulated)
Anilingelb	 aniline yellow
Anilingus	 anilingus
Animateur	 holiday representative, club representative, entertainer
Animation	 animation
Anime	 anime (Animated works that originated in Japan)
Animismus	 animism
Animosität	 animosity
Anis	 anise (plant and spice)
Anisette	 anisette (alcoholic liqueur)
Anisotropie	 anisotropy
Anissamen	 aniseed
Anker	 anchor
Ankerplatz	 anchorage
Anklage	 accusation (act of accusing or charging with a crime)
Ankleidekabine	 changing cubicle
Ankunft	 arrival
Ankunftszeit	 time of arrival
Ankündigung	 announcement, notice
Anlage	 public green area, site, park, garden
Anlage	 (''area or building'') plant, facility, installation
Anlage	 device, system, rig
Anlage	 music centre
Anlage	 annex, appendix
Anlass	 cause, starting, motive
Anlass	 occasion
Anlassen	 tempering, annealing
Anlassen	 starting
Anlauf	 attempt, try
Anlauf	 run-up
Anlehnung	 dependence (on)
Anlehnung	 borrowing (from)
Anlehnung	 following, support
Anlehre	 job training
Anleitung	 guidance
Anleitung	 manual
Anlernling	 trainee
Anm.	 Abbreviation of Anmerkung, ''remark''.
Anmeldung	 application
Anmeldung	 announcement, booking, registration
