A positivo	 A positive (blood type)
abastado	 abundant
abastança	 abundance
abastança	 adequacy
abastar	 To supply
abastar	 To suffice, be enough
abastecer	 To supply, provide, provision
abastecer	 To fuel
abastecimento	 supply
abastecimento	 provisions
abastimento	 dispensing
abatedouro	 slaughterhouse (place where animals are slaughtered)
abater	 To collapse
abater	 To topple
abater	 To slaughter
abater	 To abate, weaken
abatimento	 discount, rebate
abcesso	 abscess, boil
abcesso	 tumour
abdicar	 to abdicate
abdicar	 (''em favor de'') to give up (abdicate) something in favour of someone;
abdominal	 sit-up
abducção	 abduction
abduzir	 to abduct (to draw away from its ordinary position)
abdução	 abduction
abdómen	 abdomen.
abdômen	 abdomen
abençoada	 blessed (feminine singular past participle of '''abençoar''').
abençoado	 blessed
abençoar	 to bless
aberração	 aberration, aberrance
aberração	 freak
abertamente	 openly
aberto	 open
abertura	 opening, orifice
abertura	 aperture
abespinhar	 To irritate, annoy, bother
abeto	 fir (A conifer of the genus ''Abies'')
abieiro	 a South American tropical fruit tree, ''Pouteria caimito'', whose fruit is the abiuPortuguese|abiu
abigeato	 abigeat, cattle-theft
abilidade	 ability
abiogênese	 abiogenesis
abismado	 astonished, astounded
abismar	 To fall into the abyss
abismar	 To astonish, astound
abismo	 abyss (a bottomless or unfathomed depth)
abiu	 abiuEnglish|abiu, the fruit of the abieiro
abjurar	 abjure (to renounce upon oath)
abluir	 To ablute
ablução	 ablution
abnegar	 To abnegate
abnegar	 To renounce
abnegação	 abnegation
abnegação	 self-denial
aboboreira	 pumpkin (plant)
abolicionista	 abolitionist (person who favors the abolition)
abolição	 abolition
abominação	 abomination
abominável	 abominable; hateful; detestable; loathsome
abordagem	 approach (a manner in which a problem is solved or policy is made)
abordar	 to address (a subject, etc.)
aborrecer	 To annoy, bother, vex
aborrecido	 bored
aborrecido	 upset
aborrecimento	 bother, annoyance
aborrecimento	 tedium, boredom, ennui
abortado	 aborted
abortar	 to abort, to miscarry
aborto	 abortion, miscarriage
aborto	 monster, ugly thing
aborígene	 aborigine (aboriginal inhabitant of a country)
abrandar	 To soften
abrandar	 To loosen
abrandar	 To placate
abrandar	 To relent
abrangente	 Broadly inclusive; comprehensive.
abranger	 To include, comprise, cover
abranger	 To embrace, span
abranger	 To contain
abrasar	 To burn
abrasar	 To parch
abrasivo	 Producing abrasion; abrasive; rough.
abrasão	 abrasion
abraçar	 to hug, to embrace
abraço de urso	 bear hug
abraço	 hug, embrace
abreviar	 to abbreviate
abricó	 apricot (fruit)
abrigo	 shelter
abrigo	 haven
abrigo	 refuge
abrolho	 (''especially in plural'') reef (rocks near the coast)
abroquelar	 To shield, protect
abrupto	 abrupt; steep; craggy
absolutamente	 absolutely
absoluto	 absolute
absoluto	 unmitigated
absoluto	 total
absolver	 To absolve
absolver	 To forgive
absorvente	 absorbing
absorvente	 absorbent
absorvente	 absorbent
absorver	 absorb
absorvidamente	 absorbedly
absorvível	 absorbable
absorção	 absorption
abstenção	 abstention (the act of abstaining)
abster	 To abstain (from)
abster	 To refrain, restrain
abstinência	 abstinence
abstrair	 To abstract (all senses)
abstrair	 To separate
abstrato	 abstract; separate
abstrato	 abstract; theoretical; vague; impractical
abstração	 abstraction
abstruso	 Difficult to comprehend; abstruse.
abstémio	 abstemious, teetotal
absurdo	 absurd
absurdo	 absurdity
abundar	 abound (to be plentiful)
abundância	 abundance (ample sufficiency)
abusar	 To abuse
abusar	 To insult
abutre	 vulture
abóbada	 vault (arched ceiling)
abóbora	 pumpkin, squash, gourd
abóbora	 pumpkin (colour)
acabamento	 finishing (act of finishing something)
acabar	 To finish, to complete
acabar	 To end up
acabar	 (''catenative'') (''followed by dePortuguese|de'') indicates recency, as in English just finish
acabar	 To destroy completely, to defeat thoroughly
acabrunhar	 To afflict
acabrunhar	 To overburden, overwhelm
acabrunhar	 To humiliate
academia	 academy
académico	 academic
académico	 academic
acalanto	 lullaby
acalentamento	 nurturance
acalentamento	 cherishing
acalentar	 To cherish
acalentar	 To lull, comfort
acalmar	 To calm, calm down
acampamento	 camp
acampar	 To camp (go camping)
acampar	 To encamp
acanhado	 shy
acarofobia	 acarophobia
acarretar	 To cart (transport in a cart or similar)
acarretar	 To carry
acarretar	 To cause, bring about
acaso	 chance; luck
acastanhado	 chestnut (coloured), brownish
acastelar	 To fortify (with castles)
acastelar	 To heap or pile (up)
acatamento	 observance
acatamento	 compliance
acatar	 To observe
acatar	 To respect, worship
acatar	 To obey, heed, comply
acautelar	 To prevent
acautelar	 To forearm, guard
acaçapado	 low, flat
acaçapado	 crouched
acaçapado	 hidden
aceder	 To comply (with), agree (to)
aceder	 To conform
aceder	 To access
aceitabilidade	 acceptability
aceitante	 accepting
aceitante	 acceptor
aceitar	 to accept
aceitar	 to receive
aceitação	 acceptance
aceitável	 Capable, worthy or sure of being accepted; acceptable.
aceleradamente	 quickly, rapidly
acelerado	 accelerated
acelerado	 fast, quick, rapid
acelerar	 To accelerate.
aceleração	 acceleration
acelga	 chard (''Beta vulgaris'' var.'' cicla'')
acender	 to light a fire
acender	 to turn on, to switch on.
acento	 accent
acento circunflexo	 circumflex
acento agudo duplo	 double acute accent
acentuado	 marked
acentuado	 accentuated
acentuar	 to accentuate, emphasize, distinguish, elevate
acercar	 To approach
acercar	 To approximate
acertar	 To adjust
acertar	 To regulate
acertar	 To hit (a target)
acertar	 To coincide
acerto	 hit
acerto	 fluke, luck
acerto	 agreement
acerto	 adjustment
aceso	 lit; lighted
aceso	 switched on.
acesso	 access (a way or means of approaching)
acessão	 accession
acessível	 accessible
acessório	 accessory, attachment
achatado	 flattened, compressed
achatado	 crushed, squashed
achatar	 To flatten
achatar	 To squash
aciaria	 steelworks
acidentado	 victim of an accident
acidental	 accidental
acidentalmente	 accidentally
acidentalmente	 casually
acidente	 accident (unexpected event with negative consequences)
acidez	 acidity (the quality or state of being acid)
acidificar	 To acidify
acidificação	 acidification
acima	 up, upwards
acinzentar	 grey (to become or turn grey)
acionador	 activator
acionar	 To action
acionar	 To activate
acirrar	 To irritate
acirrar	 To incite
acirrar	 To intensify
aclamar	 To proclaim
aclamar	 To acclaim, applaud
aclimatar	 acclimatize (to get used to a new climate)
aclimatação	 acclimatization (the act of acclimatizing)
aclimação	 acclimatization
acobardar	 To frighten
acobreado	 coppery, copper-coloured
acoimar	 To fine
acoimar	 To censure, punish
acolhida	 welcome, welcoming
acolhimento	 welcome
acolhimento	 reception
acolá	 yonder
acolá	 beyond
acometer	 To attack, assail
acomodamento	 accommodation, conciliation
acomodar	 To accommodate
acomodar	 To settle, resolve (a dispute)
acompanhamento	 accompaniment (all senses)
acompanhante	 accompanying
acompanhante	 companion
acompanhante	 date
acompanhar	 to accompany
acondicionar	 To condition
aconselhamento	 counselling, advising
aconselhar	 To advise, counsel
aconselhável	 advisable
acontecer	 happen (to occur)
acontecimento	 event
acontecimento	 happening, occurrence
acoplar	 couple (to join two things together)
acordado	 awake; conscious
acordeão	 accordion (a small, portable, keyed wind instrument)
acordo	 agreement
acordo	 accord
acreditar	 To believe
acreditar	 To accredit
acreditavelmente	 believably
acrescentar	 to increase
acrescer	 To increase
acrescer	 To add
acrescer	 To accrue
acrescerão	 increase
acrescerão	 addition
acrescerão	 accrual
acrobata	 acrobat (an athlete who performs acts requiring skill, agility and coordination)
acrofobia	 acrophobia
acréscimo	 increase
acrílico	 acrylic
acta	 minute (record of meeting)
activismo	 activism.
activo	 asset (something or someone of any value)
activo	 active
actualizar	 To update
actualizar	 To modernize
actualização	 update
actínio	 actinium (chemical element)
acudir	 to respond, retort
acudir	 to help
acudir	 to run to; converge (on)
acumular	 accumulate (to grow in number)
acumulativo	 accumulative
acumulação	 accumulation (act of accumulating, the state of being accumulated)
acurado	 Conformed to truth; accurate.
acusado	 accused
acusado	 accused
acusador	 accuser (one who accuses)
acusadoramente	 accusingly
acusar	 to accuse
acusativo	 accusative; accusative case
acusação	 accusation
acácia	 acacia (plant).
acúmulo	 accumulation (act of accumulating, the state of being accumulated)
adaga	 dagger (a stabbing weapon)
adaptar	 adapt (to make suitable)
adaptação	 adaptation
adaptação	 customization
adaptável	 adaptable
adarga	 a type of leather shield
adega	 cellar (collection of wine)
adega	 bodega
adenina	 adenine (base pairing with thymine or uracil)
adequado	 suitable, appropriate
adequado	 adequate
aderir	 To adhere
aderência	 acceptance of a belief
adestramento	 dressage
adestrar	 To turn right
adestrar	 To train, teach
adestrar	 To discipline
adesão	 accession
adesão	 adherence
adesão	 support
adesão	 coherence
adeus	 goodbye (farewell)
adiamento	 postponement, delay
adiamento	 deferment, stay
adiamento	 adjournment
adiamento	 respite
adiamento	 procrastination
adiantamento	 progress
adiantamento	 advance (all senses)
adiantamento	 boldness, audacity
adiantar	 to bring to the front, bring forward
adiantar	 to anticipate information
adiantar	 to work, function, to have a point (refering to actions)
adiante	 ahead, forward
adiante	 in front
adiar	 to postpone, delay, adjourn, defer.
adicional	 supplementary (additional)
adicionalmente	 additionally
adicionar	 To add, sum (numbers)
adicionar	 To insert
adicção	 addiction
aditamento	 addition, supplement
aditar	 To add (make additions)
aditar	 To enter (make an entrance)
adivinhar	 guess
adivinhar	 foretell
adição	 addition (act of adding)
adjectivo	 adjective, adjectival
adjectivo	 adjective
adjudicar	 To award, grant
adjudicar	 To adjudicate
adjudicação	 adjudication
administrador	 That manages; that administers; administrator.
administrante	 That manages; that administers; administrator.
administrar	 To administer (all senses)
administrativo	 Of or relating to administration or administering; administrative.
administração	 administration (the act of administering)
administração	 administration (a body who administers)
admirar	 to admire
admiravelmente	 admirably
admiração	 admiration
admiração	 wonder
admissão	 admission (all senses)
admissível	 admissible
admitir	 To admit, accept
admitir	 To allow
admitir	 To acknowledge
admitir	 To concede
admoestar	 To admonish
adocicado	 Containing a sweetening ingredient; sweet.
adoecer	 To sicken (fall sick)
adoentado	 sick
adolescente	 adolescent, teenage
adolescente	 adolescent, teenager (child aged between thirteen and nineteen)
adolescência	 adolescence
adorar	 To love
adorar	 To adore, worship
adoração	 adoration
adornar	 to adorn
adorável	 adorable, lovely
adotar	 to adopt (to take by choice into relationship, as, child, heir, friend, citizen)
adoçante	 sweetener (sugar substitute)
adoçar	 To sweeten
adoçar	 To blunt
adoção	 adoption
adquirir	 To acquire, get, obtain, procure
adquirir	 To purchase, buy
adsorver	 To adsorb
adsorção	 adsorption
adstringência	 astringency
adstrito	 attached, connected (to)
adstrito	 dependent
adstrito	 restricted
adubação	 fertilizing, fertilization
adubo	 fertilizer, manure, compost
adular	 To flatter.
adulto	 adult, grown-up
adulto	 adult
aduzir	 To adduce
adversário	 adversary, opponent
adversário	 enemy, foe
advir	 To occur, befall
advir	 To happen (by accident)
advogada	 lawyer, advocate, attorney (female)
advogado do diabo	 devil's advocate
advogado	 lawyer (professional person authorized to practice law)
advérbio	 adverb
aerar	 To aerate
aeração	 aeration
aeroespacial	 aerospatial
aerolito	 aerolite, meteorite
aeronave	 aircraft
aeronáutica	 aeronautics
aeronáutica	 air force
aeroplano	 airplane
aeroporto	 airport (a place designated for airplanes)
afagar	 To stroke, fondle, caress
afagar	 To cherish, feed
afanoso	 laborious, arduous
afazer	 To accustom
afegão	 Afghan, Afghani
afeiçoado	 affectionate, fond
afeiçoar	 To form, shape, mould
afeiçoar	 To accommodate, adapt, adjust
afeição	 affection (kind feeling)
afetar	 To affect (to influence or alter)
afetação	 affectation (an attempt to assume or exhibit what is not natural or real), falsehood, pretense
afetuosamente	 affectionately, fondly
afetuoso	 affectionate
afiançar	 To bail
afiançar	 To guarantee
afiançar	 To sponsor
afiar	 to sharpen
afilar	 To sharpen
afilhada	 goddaughter
afilhado	 godson, godchild
afim	 related
afim	 similar, equal
afim	 relative
afinal	 after all (in the end; anyway)
afinidade	 affinity
afinidade	 kinship
afirmar	 to state, declare
afirmar	 to confirm
afirmar	 to make firm
afirmativamente	 affirmatively
afirmativo	 affirmative
afirmativo	 assertive
afirmação	 affirmation, statement
afirmação	 proposition
afirmação	 pronouncement
afixar	 to affix, to attach
afixo	 affix (that which is affixed)
afixo	 affix (linguistics: a bound morpheme added to a word’s stem)
aflito	 afflicted
aflição	 affliction (a state of pain, suffering, distress or agony)
afloramento	 outcrop
afloramento	 outbreak, outburst
aflorar	 To emerge
aflorar	 To outcrop
afluente	 a tributary waterbody.
afogar	 to drown, to asphyxiate
afora	 externally
afora	 except
afora	 unless
afora	 besides
africanismo	 Africanism
africâner	 Afrikaner
africâner	 afrikaner
afronta	 affront (open or intentional offense, slight, or insult)
afrouxar	 to loosen (to make less tight)
afugentar	 To chase (off)
afugentar	 To shoo
afugentar	 To repel
afável	 affable
afável	 benevolent
afável	 affectionate
agaloar	 To braid
agarrar	 To grab, grasp, hold, cling, clutch
agasalho	 shelter (clothes for protection from the weather)
agastar	 To annoy, vex
agenda	 schedule (time-based plan of events)
agenda	 planner; a personal phone book; an organizer
agente	 agent (one who exerts power)
agilidade	 agility
agiota	 moneylender
agitado	 agitated
agitado	 hectic
agitado	 choppy (sea)
agitar	 To shake, agitate
agitar	 To wave
agitação	 agitation
agitação	 excitement, turmoil
agitação	 upheaval, unrest
aglomerado	 agglomerated
aglomerado	 aggregated
aglomerado	 agglomerate
aglomerado	 aggregation
aglomerante	 agglomerating, clustering
aglomerar	 To agglomerate
agnóstico	 agnostic
agnóstico	 agnostic
agoiro	 omen, prophecy
agonia	 agony (violent contest or striving)
agora	 now
agora	 just now
agora	 next or this when talking about near dates
agora mesmo	 right now
agorafobia	 agoraphobia
agorafóbico	 agoraphobic
agosto	 August
agoureiro	 ominous
agoureiro	 superstitious
agouro	 omen, prophecy
agradar	 to be nice to, to fuss over
agradavelmente	 pleasantly, agreeably
agradecer	 to thank
agradecer	 to be grateful for
agradecimento	 gratitude, thankfulness
agradecimento	 acknowledgement
agradável	 pleasant, agreeable
agravamento	 aggravation
agravante	 aggravating
agravar	 To aggravate
agravo	 grievance
agraço	 verjuice
agregar	 To aggregate
agregar	 To accrete
agregação	 aggregation
agressivamente	 aggressively
agressividade	 aggressiveness
agressivo	 aggressive
agressão	 aggression
agricultura	 agriculture, farming
agrião	 cress
agrião	 watercress
agrotóxico	 agrotoxic
agrotóxico	 pesticide
agrupamento	 grouping
agrupamento	 swarm
agrupamento	 cluster
agrupar	 To group together
agrupar	 To cluster
agrura	 bitterness, grief
agrura	 difficulty, obstacle
agrário	 agricultural
agrário	 agrarian
agrícola	 agricultural
aguardar	 To await
aguardar	 To expect
aguardente	 spirit (distilled alcoholic drink)
agudo	 acute
agudo	 sharp
aguentar	 bear (to put up with)
aguilhoar	 To spur
aguilhoar	 To sting
agulha	 needle (implement for sewing)
agulha	 spire
aguça	 pencil sharpener
aguçar	 to sharpen
aguçar	 to whet
agência	 agency
ai	 ouch (expression of one's own physical pain)
aie-aie	 aye-aye.
aipim	 cassava, manioc
aipo	 celery (herb)
airar	 To anger
ajoelhar	 To kneel
ajuda	 an act of helping or assisting
ajuda	 something which helps or assists
ajudador	 helper
ajudante	 helper, assistant
ajudante	 aide, adjutant
ajudar	 to help, to aid, to assist
ajuizado	 wise
ajuizar	 To judge
ajuntamento	 gathering
ajuntamento	 throng
ajuntar	 To gather, collect, round up
ajustado	 adjusted
ajustado	 tight, tight-fitting
ajustar	 To adjust
ajustar	 To adapt
ajustar	 To fit
ajuste	 adjustment
akrobata	 acrobat
ala	 section, wing
alabama	 Alabama (language)
alabastro	 alabaster.
alagadiço	 marshy (often flooded)
alagar	 To flood
alagar	 To inundate
alar	 to give wings
alaranjado	 orange (colour)
alardo	 roll call
alargamento	 enlargement
alargamento	 extension
alargamento	 widening
alarmar	 to alarm, to alert
alarme	 alarm
alarme	 alert
alascana	 Alaskan
alascano	 Alaskan
alascano	 Alaskan
alastrar	 to spread; to proliferate
alativo	 allative (allative case)
alavanca	 lever
alavanca de câmbio	 stick (gearstick, stickshift)
alaúde	 lute (stringed instrument)
alba	 white
albanês	 Albanian (Of or pertaining to Albania)
albatroz	 albatross (seabird)
alcachofra	 artichoke (an edible plant related to the thistle)
alcachofra	 The edible part of that plant.
alcalinização	 alkalinization
alcalóide	 alkaloid (organic heterocyclic base)
alcano	 alkane (saturated hydrocarbon of formula C<sub>n</sub>H<sub>2n+2</sub>)
alcantilado	 steep
alcantilado	 craggy, overhanging
alcançar	 to reach
alcançável	 attainable, reachable, achievable
alcatrão	 tar (substance)
alce	 elk, moose.
alceno	 alkene (unsaturated aliphatic hydrocarbon with one or more carbon-carbon double bonds)
alcova	 alcove
alcoviteiro	 matchmaker
alcoviteiro	 pimp, procurer
alcoólico	 alcoholic
alcunha	 nickname, soubriquet
aldeia	 village
aldeão	 villager
aldraba	 doorknocker
aldraba	 latch
aleatoriamente	 With unpredictable outcomes; at random; randomly; haphazardly.
aleatório	 aleatory, random
alecrim	 rosemary
alegadamente	 allegedly
alegado	 alleged
alegar	 to claim, allege
alegar	 to plead
alegação	 allegation
alegrar	 to make happy
alegre	 happy
alegre	 joyful
alegremente	 In context of being happy; happily.
alegria	 joy, happiness.
aleijado	 crippled
aleijão	 deformity
aleitamento	 breastfeeding
aleitamento	 suckling
aleitar	 To breastfeed
aleitar	 To nurse, give suck
aleivosia	 treachery, treason
aleivosia	 disloyalty
aleivosia	 libel, slander
aleluia	 hallelujah!
alemão	 German
alentar	 To encourage
alergênico	 allergenic
alerta	 alert (attentive)
alerta	 warning
alertar	 to alert
alevino	 alevin, fingerling
aleúte	 Aleut (native of the Aleutian Islands)
aleúte	 Aleut
alfa	 alpha; the Greek letter Α, α
alfabetização	 alphabetization
alfabeto	 alphabet.
alfabeto fenício	 Phoenician alphabet
alfabético	 alphabetical (in the order of the letters of the alphabet)
alface	 lettuce
alfaia	 utensil
alfaia	 ornament
alfaiate	 tailor
alfajor	 A popular confection in South America usually filled with caramel-like dulce de leche.
alfanumérico	 alphanumeric
alferes	 ensign (military officer)
alfinete	 pin (small needle with no eye)
alfinete	 safety pin
alfândega	 customs (government agency)
alga	 seaweed (marine plants and algae)
algaravia	 gibberish
algarismo arábico	 Arabic numeral (any of the ten symbols from 0 through 9)
algema	 handcuffs, manacles, shackles
algibeira	 pocket
algibeira	 pouch
algodoeiro	 cotton (plant)
algodão	 cotton (plant)
algoritmo	 algorithm
algoz	 executioner
algoz	 tormentor
alguidar	 An earthenware or metal bowl in the form of an inverted, truncated cone
algum	 some, any
algures	 somewhere (else)
algébrico	 algebraic
alhear	 To alienate
alheio	 someone else’s, that belongs to someone else, other people’s
alheio	 alien
alheio	 distracted
alheio	 alien
alho	 garlic (plant)
alho	 garlic (bulbous root)
alho-porro	 leek
ali	 Far from both the speaker and the audience; there.
aliado	 ally (anything akin to another by structure, etc)
aliado	 allied
alicerce	 foundation
alicerce	 base, basis
alicerçar	 To base (lay foundations of)
alienar	 to alienate
alienação	 alienation
alienígena	 alien; stranger
alienígena	 extraterrestrial
alienígena	 stranger; foreigner
alienígena	 alien; extraterrestrial
aliforme	 aliform; wing-shaped
alijar	 To jettison
alimentar	 food
alimentar	 to feed
alimentação	 feeding, alimentation
alimentação	 feed
alimentação	 food, nourishment
alimento	 food (any substance consumed by living organisms to sustain life), foodstuff
alimentício	 nourishing, alimentary
alimária	 beast, brute
alinhamento	 alignment
alinhar	 To align, line up
alisar	 to smooth
alisar	 to level
alisar	 to plane
alisar	 to flatten
alistado	 enlisted
alistar	 To enlist
alistar	 To recruit
aliteração	 alliteration
aliviar	 To relieve, ease, alleviate
aliviar	 To lighten
aliás	 by the way
aliás	 furthermore, what's more
aliás	 however
aliás	 actually
aljava	 quiver (arrow container)
aljôfar	 seed pearl
aljôfar	 drop of water
aljôfar	 dew
alma	 soul
almanaque	 almanac
almaço	 foolscap (paper size)
almirante	 admiral (all senses)
almirante	 flag officer
almoeda	 auction
almoedar	 to auction
almoxarife	 stockman, warehouseman
almoço	 lunch
almécega	 putty, mastic
almôndega	 meatball (ball of minced meat)
alocar	 allocate (to set aside for a purpose)
aloirar	 To become blond
alojamento	 accommodation
alojamento	 housing
alojamento	 lodging, quarters
alojar	 To house, accommodate
alojar	 To billet
alongado	 elongated
alongar	 To elongate, lengthen
alpendre	 terrace (platform that extends outwards from a building)
alpendre	 overhang (portion of the roof structure that extends beyond the exterior walls of a building)
alperce	 apricot (fruit)
alpinismo	 mountaineering, alpinism
alpinista	 climber, mountaineer, alpinist
alqueire	 bushel (or various similar old measures)
alquimia	 alchemy (chemistry searching for panacea)
alquímico	 alchemical
alta	 rise
altabaixo	 overhand (boxing blow that travels from high to low)
altamente	 highly
altanaria	 haughtiness
altanaria	 pride
alterar	 to alter or change
alteração	 alteration, change, modification
altercar	 to dispute, argue, quarrel
altercação	 altercation
altercação	 quarrel
alternadamente	 alternately
alternativo	 alternative (having more than one choice)
alternância	 alternation
alternância	 rotation
alternância	 interchange
alteza	 highness (all senses)
alteza	 altitude, elevation
altissimamente	 most/very highly
alto	 loud
alto	 tall
alto	 high
alto	 loud; loudly
alto	 halt!
altruísmo	 altruism (policy in favor of other's interests)
altruísta	 altruistic
altruísta	 altruist
altruístico	 altruistic
altura	 height
altura	 altitude
altura	 loftiness
altímetro	 altimeter (an apparatus for measuring altitude)
altíssimo	 highest, very high
altíssimo	 God
aluado	 lunatic (especially when influenced by the moon)
alucinar	 to hallucinate
alucinação	 hallucination (sensory perception of something that does not exist)
alugar	 To rent
aluguel	 rent, rental
aluguel	 hire, hiring
aluguer	 rent
aluguer	 income
alumiar	 To illuminate
alumiar	 To clarify
alumiar	 To shed light on
aluminotermia	 aluminothermy
alumínio	 aluminium (a silvery metal)
alunar	 To land on the moon
aluno	 student
alusão	 allusion
aluvial	 alluvial
aluviar	 To silt up
aluvional	 alluvial
aluá	 A Brazilian drink made from fermented corn meal with the addition of pineapple, ginger etc
alva	 dawn
alvacento	 whitish
alvará	 charter, certificate (or similar document)
alvejamento	 bleaching
alvejante	 bleaching
alvejante	 bleach
alvejar	 To bleach
alvejar	 To whiten
alvenaria	 masonry, brickwork
alvitre	 suggestion, advice
alvião	 mattock, pick, pickaxe
alvo	 white
alvo	 target
alvo	 white
alvor	 the first light of the morning
alvor	 whiteness
alvorada	 dawn (all senses)
alvoroçar	 To rouse
alvoroçar	 To disturb, startle, frighten
alvoroço	 agitation, rampage, turmoil
alvíssaras	 reward given to someone bringing good news or something that was lost
alvíssaras	 glad tidings
alvíssimo	 very white or pure
alá	 there
alça	 a semicircular handle, such as the bail of a bucket and the handles of bags and purses
alçapão	 trapdoor
alçapão	 hatch, hatchway
alçapão	 pitfall
alçar	 to lift; to raise
alçar	 to build; to erect a construction
alçar	 to raise one’s eyes
além	 there, over there
alérgico	 allergic
alínea	 paragraph (or the first line of a paragraph)
alínea	 subheading
alô	 hello (usually when answering the telephone)
ama	 female nurse
ama	 female housekeeper
ama	 governess
amabilidade	 amiability
amabilidade	 kindness, kindliness
amaciar	 To soften
amaciar	 To smooth
amado	 beloved
amador	 amateur|Amateur; Someone who is unqualified or insufficiently skillful
amador	 loving
amador	 voluntary
amadurecer	 ripen (to cause to mature; to make ripe)
amadurecimento	 ripening
amadurecimento	 maturation
amaldiçoar	 To curse, damn
amalgamar	 To amalgamate
amalgamação	 amalgamation
amamentar	 breastfeed (feed a baby milk via the breasts)
amancebado	 shacked up (living together as lovers)
amanhar	 To arrange, prepare
amanhecer	 dawn (to begin to brighten with daylight)
amanhecer	 dawn
amanhã	 tomorrow
amanhã	 tomorrow
amanhã	 future
amante	 loving
amante	 lover
amarelado	 Somewhat yellow; yellowish.
amarelo	 yellow
amarelo	 yellow
amargor	 bitterness (all senses)
amargor	 sorrow, anguish, acrimony
amargoso	 bitter
amargoso	 sad
amargura	 bitterness
amargura	 sorrow
amargura	 (''especially in plural'') unpleasantness
amargurado	 sad
amargurado	 bitter
amarrar	 To tie.
ambas	 both (female)
ambidestro	 Having equal ability in both hands; ambidextrous.
ambiental	 environmental
ambientalista	 environmentalist (one who advocates for the protection of the biosphere)
ambiente	 environment.
ambiguamente	 ambiguously
ambiguidade	 ambiguity
ambição	 ambition
ambiência	 ambience
ambos	 both
ambulância	 ambulance
ambíguo	 ambiguous
ameaçar	 to threaten (to make a threat against someone; to use threats)
ameaçar	 to endanger, menace
ameaçar	 (''catenative'') to portend, threaten
amedrontado	 frightened
amedrontar	 to frighten, to scare, to disturb with fear
ameigar	 To stroke, fondle
ameixa	 plum (fruit)
ameixeira	 plum tree
amendoim	 peanut, goober
americano	 American (inhabitant of the Americas)
americano	 American (person born in, or citizen of, the United States of America)
americano	 American (native of the Americas)
americano	 American (native of the United States of America)
amerício	 americium (chemical element with atomic number 95)
ametal	 nonmetal
amido	 starch
amiga	 friend
amigar	 To befriend
amigar	 To make friends (with)
amigo-da-onça	 traitor
amigável	 amicable
amigão	 good friend; buddy
amimar	 To fondle, caress
amizade	 friendship ((''uncountable'') condition)
amiúde	 often, frequently
amnésia	 amnesia
amo	 master
amo-te	 I love you
amolar	 To sharpen
amolar	 To hone
amolação	 sharpening
amolação	 honing
amolecer	 To soften
amolecer	 To macerate
amolentar	 To soften
amolentar	 To loosen
amolentar	 To weaken
amoniacal	 ammoniacal
amor	 love
amora	 mulberry (fruit)
amoralidade	 amorality.
amordaçar	 To muzzle, gag
amoreira	 mulberry (tree).
amoroso	 loving
amortalhar	 To enshroud (especially a corpse)
amortizar	 To amortize
amortizar	 To pay in instalments
amortização	 amortization
amortização	 payment in instalments
amorável	 affectionate, loving
amorável	 affable
amorável	 pleasant
amostra	 sample
amotinar	 To mutiny, revolt
amperímetro	 ammeter
amplamente	 largely, broadly
amplamente	 willingly
