100 mètres	 100 metres
Bruxellois	 person from Brussels, Belgium
Brésilien	 a Brazilian
Bulgare	 Bulgarian (native of Bulgaria)
Burundais	 person from Burundi
Bâlois	 Basler
Béarnais	 An inhabitant or descendant of the population of the Béarn region in the French Pyrenees
Bélizien	 A Belizean, member or descendant of the people of Belize, either the former British Honduras or the city it was renamed after
Béninois	 person from Benin
CCE	 (comité central d'entreprise) ≈ works council
Caennais	 someone from the city of Caen
Cagliaritain	 someone of or from Cagliari
Calaisien	 someone of or from Calais
Californian spangled	 California spangled cat
Camerounais	 a Cameroonian
Canadien	 A (male) Canadian.
Canadienne	 Canadian woman
Cappadocien	 Cappadocian
Capricorne	 Capricorn (someone born with a Capricorn star sign)
Capverdien	 Cape Verdean
Carthaginois	 Carthaginian
Catalan	 A Catalan person.
Catanais	 someone of or from Catania
Caucasien	 Caucasian (native of the Caucasus region)
Celte	 Celt (person of Celtic origin)
Centrafricain	 Central African
Cervin	 Matterhorn
Chalonnais	 A native or resident of any of several places called Chalon or Chalonnes in Frence
Chambérien	 Someone of or from Chambéry
Chilien	 Chilean, someone from Chile
Chinois	 Chinaman, someone from China
Chrétien	 Christian (member of the Christian religion)
Chti	 someone from the Nord-Pas-de-Calais region of France, especially someone who speaks Picard
Chtimi	 Someone from the Nord-Pas-de-Calais region.
Clermontois	 someone of or from any of the French towns called Clermont
Clermontois	 someone of or from Clermont-Ferrand
Colombien	 Colombian (A person from Colombia)
Comorien	 Comorian
Comtois	 person from Franche-Comté, France
Congolais	 a Congolese person
Constantinopolitain	 Constantinopolitan
Cordouan	 Cordoban
Corrézien	 Native or inhabitant of the Corrèze
Cosaque	 Cossack (member of a population)
Costaricain	 person from Costa Rica
Costaricien	 Costa Rican
Croate	 a Croat
Crétois	 Cretan
Cubain	 Cuban (a person from Cuba)
Cypriote	 Cypriot (person from Cyprus)
Cène	 Holy Communion
DOM	 w:Département d'outre-mer|Département d'outre-mer
Dahoméen	 Dahomeyan
Dakarois	 person from Dakar
Danois	 Dane, someone from Denmark
Dieppois	 Native or inhabitant of Dieppe
Dijonnais	 someone of or from Dijon
Djiboutien	 a Djiboutian
Dordognais	 Someone from Dordogne
Dunkerquois	 someone of or from Dunkirk
Egyptien	 Egyptian person
Espagnol	 Spaniard
Esquimau	 Eskimo (person)
Estonien	 Estonian (person)
Eurasien	 Eurasian (someone from Eurasia)
Européen	 European; person from Europe
Falklandais	 a Falklander
Fidjien	 a Fijian
Finistérien	 someone of or from Finistère
Finlandais	 Finn (person  from Finland)
Finlandaise	 (female) Finn
Finnois	 Finn (person from Finland)
Flamand	 Fleming, person from Flanders, Belgium
Flandrien	 Flandrian
Florentin	 Florentine
Formule 1	 Formula 1
Francilien	 person from Île-de-France
Franconien	 Franconian person
Français	 Frenchman
Française	 Frenchwoman 
Féroïen	 A Faroese person
Gabonais	 person from Gabon
Gaillacois	 Native or inhabitant of Gaillac
Galiléen	 Galilean
Gallois	 Welshman
Gambien	 Gambian
Gandois	 someone from Ghent; Ghentian
Gaulois	 Someone from Gaul
Gergovien	 Gergovian
Germanopratin	 native or inhabitant of Saint-Germain-des-Prés
Ghanéen	 Ghanaian (person from Ghana or of Ghanaian descent)
Ghiolof	 An inhabitant of the country of Ghiolof.
Gibraltarien	 A Gibraltarian.
Gibraltarienne	 Gibraltarian
Girondin	 Girondist
Girondin	 Someone from the department of Gironde
Girondin	 Someone connected with w:FC Girondins de Bordeaux|FC Girondins de Bordeaux, a football team in Bordeaux
Goussainvillois	 someone of or from w:Goussainville|Goussainville
Grand-Rabbin	 Chief Rabbi
Grenadien	 Grenadian
Grenelle	 summit, committee meeting
Grenoblois	 someone of or from Grenoble
Groenlandais	 a Greenlander
Guadeloupéen	 A Guadeloupean.
Guatémalien	 Guatemalan
Guatémaltèque	 Guatemalan (person)
Guernesiais	 person from Guernsey
Guinéen	 person from Guinea
Guyanais	 person from French Guiana
Génois	 Genoan
Géorgien	 A Georgian, person from the Transcaucasian country Georgia
HS	 hors-service
Hadopi	 HADOPI (attributive)
Hanovrien	 person from Hanover, Germany
Havrais	 An inhabitant of Le Havre
Hawaïen	 a Hawaiian person.
Haïtien	 a Haitian
Hellène	 Greek person, usually referring to Ancient Greek
Helvètes	 Helvetii
Hermais	 person from Herm
Hesbignon	 someone of or from Hesbaye
Hessois	 Hessian
Hollandais	 Dutchman
Hondurien	 Honduran (a person from Honduras or of Honduran descent)
Hongkongais	 person from Hong-Kong
Hongrois	 A Hungarian, a male person from Hungary.
Hébreu	 Hebrew (member of the Hebrews)
Ibère	 Iberian
Ibérien	 Iberian
Immaculée Conception	 Immaculate Conception
Indien	 Indian (person)
Indochinois	 an Indochinese person
Indonésien	 Indonesian (person)
Ingouche	 Ingush
Irlandais	 Irishman, someone from Ireland
Irlandaise	 (literally) a specimen of something Irish which is of grammatical female gender in French
Israélien	 Israeli (person from Israel or of Israeli descent)
Israélite	 Israelite
Israëlien	 Israeli
Issa	 A member of the IssaEnglish|Issa clan
Ivoirien	 A male Ivorian.
Ivoirienne	 A female Ivorian.
Jacques a dit	 Simon says (children's game)
Jamaïcain	 Jamaican (someone from or pertaining to Jamaica)
Japonais	 A Japanese man, a male inhabitant of Japan.
Japonaise	 A Japanese woman, a female inhabitant of Japan.
Jersiais	 person from Jersey
Jordanien	 Jordanian person
Juif	 Jew (a person with a Jewish cultural or ancestral connection)
Katangais	 A Katangese, person from or descended from the people if Katanga (all senses)
Kinois	 Kinshasan
Kurde	 Kurd
Labradorien	 Labradorian (someone from Labrador)
Laotien	 Laotian (person)
Latine	 Latin woman
Lavallois	 Someone from Laval
Lensois	 An inhabitant of Lens
Letton	 Latvian, someone from Latvia
Lettonne	 Latvian (person)
Libanais	 a Lebanese person
Libyen	 Libyan (someone from Libya)
Liechtensteinois	 person from Liechtenstein
Lillois	 An inhabitant of Lille
Limbourgeois	 Limburger
Limougeaud	 someone from Limoges
Lituanien	 Lithuanian person
Livournais	 Livornian
Liégeois	 Person from or living in Liège, Belgium
Londonien	 Londoner
Lorientais	 someone of or from Lorient
Lorrain	 Someone from Lorraine
Louvaniste	 someone from Louvain
Lyonnais	 An inhabitant of Lyons
Léonais	 Leonese (person)
M	 The thirteenth letter of the Appendix:Roman script|French alphabet, preceded by L and followed by N.
MNS	 lifeguard
MacDo	 (by metonymy) fast food
Maccabée	 Maccabee
Macédonien	 Macedonian (someone from Macedonia)
Madrilène	 Someone from Madrid.
Majorquais	 Mallorcan
Malais	 Malay (Malay person)
Malaisien	 Malaysian (someone from Malaysia)
Malawien	 Malawian
Maldivien	 Maldivian
Malgache	 Malagasy (person)
Malouin	 someone of or from Saint-Malo
Maltais	 Maltese (someone from Malta)
Maltaise	 (female) Maltese (someone from Malta)
Manceau	 An inhabitant of Le Mans
Mandchou	 Manchu (person)
Manitobain	 Manitoban (someone from Manitoba)
Mannois	 Manx, person from the Isle of Man
Marocain	 Moroccan
Marseillaise	 (Female) inhabitant of Marseille
Martien	 Martian (imaginary inhabitant of the planet Mars)
Martien	 Martian (any extra-terrestial)
Martiniquais	 A Martinican.
Mascatais	 Muscatian; someone from Muscat
Masovien	 Masovian
Maure	 Moor (A member of a certain mixed race of Arab and Berber people)
Mauricien	 Mauritian, someone from Mauritius.
Mauricienne	 Mauritian, someone from Mauritius.
Mauritanien	 Mauritanian
Mayennais	 person from Mayenne
Maître	 A title given to lawyers and notary public|notaries public in France, Belgium, and Canada. Abbreviation: Me.
Mecklembourgeois	 Native or inhabitant of Mecklenburg
Mesdames et Messieurs	 ladies and gentlemen (used to address an audience)
Messin	 an inhabitant of the city of Metz
Messine	 a female inhabitant of Metz
Mexicain	 Mexican, someone from Mexico
Micronésien	 Micronesian
Milanais	 someone of or from Milan
Moldave	 Moldovan
Mongol	 Mongolian (person)
Mongole	 a female inhabitant of Mongolia
Monsieur Durand	 Joe Bloggs (''UK''), John Doe (''US'')
Montréalais	 Montrealer, a denizen of Montreal
Montréalaise	 Montrealer, a female denizen of Montreal
Monténégrin	 Montenegrin
Morave	 Moravian (person from Moravia)
Morbihannais	 someone of or from Morbihan
Moscovien	 A Muscovian person
Moscovite	 Muscovite
Mulhousien	 someone of or from Mulhouse
Munichois	 someone of or from Munich
Mélanésien	 Melanesian
Mésolithique	 Mesolithic (Mesolithic period)
Mésopotamien	 Mesopotamian
Namibien	 Namibian
Namurois	 person from Namur, Belgium
Nancéien	 an inhabitant of the city of Nancy
Nantais	 an inhabitant of Nantes, France
Narbonnais	 Native or resident of Narbonne
Nicaraguayen	 Nicaraguan
Nigérian	 Nigerian (a person from Nigeria)
Nigérien	 Nigerien (someone from Niger)
Nivernais	 Native or inhabitant of Nièvre
Niçois	 An inhabitant of Nice
Noir	 black (person)
Nord-Irlandais	 person from Northern Ireland
Normand	 Norman (person)
Norvégien	 Norwegian, someone from Norway
Nubien	 Nubian person
Néerlandais	 Dutchman
Néo-Brunswickois	 New Brunswicker (someone from New Brunswick)
Néo-Zélandais	 a New Zealander
Népalais	 Nepalese (person)
Nîmois	 someone of or from Nîmes
Omanais	 Omani person
Ombrien	 Umbrian
Ontarien	 Ontarian (someone from Ontario)
Oranais	 Oranese (person from wikipedia:en:Oran|Oran)
Orcadien	 Orcadian
Orléanais	 someone of or from Orleans
Osque	 Oscan (person)
Ossète	 an Ossetian
Ougandais	 Ugandan (A person from Uganda or of Ugandan descent)
Ouzbek	 Uzbek (a person)
Oxfordien	 Oxfordian, Oxonian
PAC	 CAP
PACS	 civil partnership
PAF	 ('''police de l'air et des frontières''') border police
PAF	 ('''paysage audiovisuel français''') The French television and radio scene.
Palermitain	 someone of or from Palermo
Palestinien	 Palestinian 
Palois	 Native or inhabitant of Pau
Panaméen	 Panamanian
Papou	 Papuan, someone from Papua or Papua New Guinea
Paraguayen	 Paraguayan
Parisien	 Parisian (someone from Paris)
Pauliste	 A person residing in São Paulo, Brazil.
Perpignanais	 someone of or from Perpignan
Persan	 Persian, someone from Iran
Perse	 Persian person
Philippin	 Filipino, someone from the Philippines
Phénicien	 Phoenician person
Piémontais	 a Piedmontese person
Polonais	 Pole, someone from Poland
Polynésien	 Polynesian person
Polytechnique	 French military academy
Portoricain	 Puerto Rican (person from Puerto Rico)
Portugais	 a native of Portugal; a Portuguese
Provençal	 a person from Provence
Prussien	 Prussian person
Pékinois	 Pekinese (native or inhabitant of Pekin (Beijing))
Périgourdin	 Native or resident of Périgord or Périgueux
Péruvien	 Peruvian person
Pétrocorien	 Native or inhabitant of Périgueux
QI	 IQ
Qatari	 QatariEnglish|Qatari (person from Qatar)
Qatariote	 Qatari (person from Qatar or of Qatari descent)
Quimpérois	 someone of or from Quimper
Rennais	 An inhabitant of Rennes
Rhodanien	 someone of or from the Rhône department
Riansais	 Someone from the town of w:Rians|Rians, France.
Ricard	 A serving of pastis, especially w:Pernod Ricard|Pernod Ricard
Richelieu	 Oxford shoe
Rochelais	 someone of or from La Rochelle
Romain	 Roman (someone from Rome)
Roubaisien	 Native or inhabitant of Roubaix
Rouennais	 A native or inhabitant or Rouen
Roumain	 Romanian person
Roumaine	 Romanian (native of Romania)
Russe	 Russian (person)
Rwandais	 Rwandan
Rémois	 An inhabitant of Reims
Réunionnais	 person from la Réunion
SMIC	 The minimum wage in France
Sagittaire	 Sagittarius (someone with a Sagittarius star sign)
Salvadorien	 Salvadoran
Samaritain	 Samaritan
Sarde	 Sardinian (someone from Sardinia)
Sarthois	 someone from Sarthe
Saskatchewanais	 (''preferred form'') Saskatchewanian, (''relatively rare'') Saskatchewanite (someone from the province of Saskatchewan, Canada)
Savoyard	 Savoyard (someone from Savoy)
Scandinave	 Scandinavian
Scythe	 Scythian
Sibérien	 Siberian
Sicilien	 Sicilian (person)
Siennois	 Sienese (person)
Slave	 Slav
Slovaque	 Slovak (person from Slovakia)
Slovène	 Slovene, someone from Slovenia
Sochalien	 Someone from Sochaux
Socinien	 Socinian (a member of a certain nontrinitarian Christian denomination)
Société Anonyme	 A special type of limited liability company in France and other countries
Somalien	 Somalian (someone from Somalia)
Sommier	 person from Somme, the department of France
Soudanais	 sudanese
Soviétique	 Soviet
Sri-Lankais	 a Sri Lankan
Stambouliote	 Native or inhabitant of Istanbul
Strasbourgeois	 Native or inhabitant of Strasbourg
Sud-Africain	 a South African
Sud-Coréen	 South Korean (person from or descended from South Korea)
Suisse	 Swiss person
Suissesse	 Swissess; young Swiss woman or Swiss girl.
Sumatrien	 Sumatran
Sumérien	 Sumerian person
Surinamais	 a Surinamese person
Suédois	 male Swede person
TOM	 ''w:Territoire d'outre-mer|Territoire d'outre-mer'' (French overseas territory)
Tahitien	 Tahitian
Tamoul	 Tamil
Tanzanien	 Tanzanian
Tasmanien	 Tasmanian
Tchadien	 A Chadian.
Tchèque	 Czech (someone from the Czech Republic)
Tchécoslovaque	 Czechoslovak
Tchétchène	 Chechen (someone from Chechnya)
Terre-Neuvien	 Newfoundlander (someone from Newfoundland)
Thaï	 Thai person
Thaïlandais	 a Thailander
Tibétain	 Tibetan (someone from Tibet)
Togolais	 Togolese (person from Togo)
Tokélaouan	 Tokelauan
Torontois	 Torontonian person
Toscan	 Tuscan
Toulonnais	 An inhabitant of Toulon, city in the southeast of France.
Toulousain	 An inhabitant of Toulouse
Tourangeau	 Someone from the town of Tours.
Troyen	 Someone of or from Troy
Troyen	 Someone of or from Troyes
Troyen	 Someone of or from w:Troye-d'Ariège|Troye-d'Ariège
Trésor	 Treasury (government department)
Tunisien	 Tunisian, someone from Tunisia
Tunisois	 Tunisian
Turc	 Turk, someone from Turkey
Turinois	 of or from Turin
Turkmène	 Turkmen
Télougou	 Telugu (speaker of the Telugu language)
Ténois	 (someone from the Northwest Territories)
Ukrainien	 Ukrainian (someone from Ukraine)
Untel	 so-and-so
Uruguayen	 An Uruguayan, member or descendant of the people of Uruguay 
Valaque	 Wallachian (someone from Wallachia)
Vancouverois	 Vancouverite
Vancouvérois	 Vancouverite
Vandale	 Vandal (member of an ancient east Germanic tribe)
Vannais	 someone of or from Vannes
Varsovien	 Varsovian (someone from Warsaw)
Vauclusien	 Native or resident of Vaucluse
Vendéen	 Someone from Vendée
Vichyssois	 Native or inhabitant of Vichy
Viennois	 a Viennese person
Vierge	 Virgo (person with this star sign)
Vietnamien	 Vietnamese (Vietnamese person)
Villard	 Native or inhabitant of Villefontaine
Vosgien	 person from or living in Vosges
Votre Majesté	 Your Majesty, address for a ruling monarch
Votre Grâce	 your grace
Votre Grandeur	 Your Highness
Votre Révérence	 Your Worship
Votre Courtoisie	 Your Courtesy
Vénitien	 Venetian person
Véronais	 of or from Verona
Wallon	 person from or living in Wallonia, Belgium
Westphalien	 Westphalian
Wikipédia	 Wikipedia
X	 X-rated
X	 X-frame stool
Xanthien	 Xanthian
Xavérien	 Xaverian
Yougoslave	 Yugoslav, Yugoslavian (someone from Yugoslavia)
Yukonnais	 Yukoner (someone from Yukon)
Zambien	 Zambian
Zaïrois	 person from Zaire
Zimbabwéen	 Zimbabwean person
Zoulou	 Zulu (member of the Zulu people)
Zouloue	 ''Feminine of Zoulou''; Zulu (member of the Zulu people)
Zurichois	 Someone from Zurich, resident of Zurich
a-t-il	 The interrogative form of '''avoir''' in the third-person singular masculine.
a-t-il	 A form of ''avoir'' (when used as a past auxiliary verb) in the third-person singular masculine, used after reporting direct speech.
aalandais	 The dialect of SwedishNoun|Swedish spoken in Åland
abaca	 Manilla hemp.
abaissable	 Which can be lowered.
abaisse-langue	 a tongue depressor
abaissement	 Action of move|moving or push|pushing something in a downward direction; a lowering
abaissement	 Action of lowering a value; reduction
abaissement	 Action of lowering oneself morally; abasement
abandon	 surrender
abandon	 abandonment
abandon scolaire	 The action of drop out|dropping out of school, usually secondary education.
abandonna	 ''third-person singular past historic form of abandonner''
abandonner	 to give up
abandonner	 to abandon, forsake
abandonné	 given up, abandoned
abandonné	 An abandonee, one who is abandoned
abasie	 abasia
abasourdi	 astonished|Astonished; dumbfounded.
abasourdi	 stun|Stuned or dazed by a loud sound.
abasourdir	 to dumbfound; to baffle; to astonish
abasourdir	 to stun or daze with a loud sound
abasourdissant	 astonishing|Astonishing; bewildering; dumbfounding.
abasourdissant	 Which stuns or overwhelms by its loudness.
abat-jour	 lampshade
abat-vent	 chimney cowl
abat-voix	 abatvoix
abattage	 slaughter|Slaughter or butchering for meat.
abattant	 Flat and articulated so it can move from a horizontal to a vertical position.
abattant	 A lid or flap which can move from a horizontal to a vertical position.
abattant	 A toilet lid.
abattement	 A diminution of physical or moral strength; dejection; exhaustion; despondency.
abatteur	 someone who fells; who knock down|knocks something down
abatteur	 a boaster
abatteuse	 (forestry) harvester
abattre	 to butcher; to slaughter for meat
abattre	 to shoot dead
abattu	 dejected, dispirited, demoralized
abbatial	 The quarters of the abbot and monks within an abbey.
abbatiale	 An abbey church.
abbaye	 abbey
abbesse	 abbess (female abbot)
abbevillois	 From or related to the Northern French city of Abbeville.
abbé	 An abbot, the head of an abbey.
abc	 ABC, basics, fundamentals, rudiments
abcès	 An abscess
abdicataire	 Which has abdicated.
abeille	 bee, honeybee
abeille charpentière	 carpenter bee
abeille à miel	 honey bee 
aberdonien	 Aberdonian
aberration	 The state of being aberrant.
abhorrer	 to abominate, to abhor, toloathe
abidjanais	 From, of, or relating to Abidjan; Abidjanese.
abime	 An unfathomable depth; an abyss or chasm.
abime	 The bottom of a chasm or valley.
abitibien	 From, or related to the Abitibi region of Quebec; Abitibian.
abkhaze	 Related or belonging to the Abkhaz ethnic group, or their language.
abkhaze	 Related to or from Abkhazia, regardless of ethnicity.
abkhaze	 The Abkhaz language.
abkhazien	 Related to or from Abkhazia.
ablatif	 Related to or causing ablationFrench|ablation.
ablation	 The often forceful removal (physical or otherwise) or abolition of something.
ablette	 (common) bleak (''Leucaspis delineatus'')
abnégation	 selflessness, self-sacrifice
abnégation	 denial, abnegation
aboiement	 A dog bark.
abolissable	 abolishable
abolitionnisme	 abolitionism
abominable homme des neiges	 abominable snowman (manlike or apelike animal said to exist in the Himalayas)
abominablement	 unbearably|Unbearably; insufferably.
abominablement	 Exceedingly badly or poorly.
abomination	 Something vile and abominable; an abomination.
aboméen	 From or having to do with the Beninese city of Abomey.
abondamment	 abundantly, copiously
abondance	 A large amount; a plethora or profusion.
abondance	 Wealth of goods, abundance; opulence, prosperity.
abondant	 abundant
abonder	 ro be found in large amounts; to abound
abonder dans le sens	 To agree profusely with, to express the same opinions as.
abonnement	 subscription
abonné	 Regularly affected by; plagued or dogged with.
abonné	 subscriber
abonné	 season ticket holder
abordable	 Not overly costly; affordable.
abordable	 approachable
abordage	 The assault on a ship.
aborigène	 Of or relating to w:Indigenous Australians|Indigenous Australians.
abortif	 abortive|Abortive; unavailing; futile.
aboutement	 abutment, jointing
abouter	 To join, link, attach or tie together by their extremities.
abouter	 To align end-to-end; to abut
aboutissant	 outcome
aboutissement	 The end or conclusion of a process.
aboutissement	 A result or outcome, usually a positive one.
aboyant	 barking
abracadabra	 An unspecified magical formula.
abracadabrant	 ludicrous, preposterous
abrahamique	 Abrahamitic (relating to the patriarch Abraham)
abrasif	 Able to abrade a surface when scrubbed against it; abrasive.
abrasif	 A usually granular abrasive substance used to polish or clean a surface.
abrasin	 One of two species of East Asian trees in the genus ''Vernicia'' (Euphorbiaceae) who produce an oil used to make varnishes and paints.
abrasive	 Feminine singular form of abrasif
abreuvoir	 A watering hole or place for animals.
abri	 A shelter or refuge against the elements or physical danger.
abri anti-aérien	 bomb shelter; air-raid shelter
abri anti-atomique	 fallout shelter
abribus	 bus shelter
abricot	 apricot (fruit)
abricot	 apricot (color)
abricot	 apricot (color)
abricotier	 apricot tree
abricotine	 A Swiss eau-de-vie made from apricots.
abricoté	 sugared apricot
abricoté	 Similar or relating to apricots.
abrine	 abrin
abriter	 to shelter, to harbour
abriter	 To take cover; to shelter
abrogatif	 abrogative
abroger	 to rescind, to repeal, to annul
abrupt	 Extremely steep, near vertical.
abrupt	 Done or said forwardly and without caution to avoid shocking.
abruptement	 abruptly
abruti	 Whose physical or mental capacities have been impaired by tiredness or another factor; dazed.
abrutissement	 Process or action of rendering people stupid and idiotic.
abruzzais	 From or related to the Abruzzo region.
abrégement	 A shortening or abridgement.
abréger	 To shorten in duration.
abréger	 To shorten (in textual length) or summarize, to abridge.
abréger	 To abbreviate.
abrégé	 A summarized synopsis or précis of a longer work.
abrégé	 A small book or written work summarizing the major points of a general topic.
abrégément	 abridgedly
abréviatif	 abbreviative
abréviativement	 abbreviatively
abréviativement	 abbreviatedly
absent	 absent-minded
absent	 absentee; missing person
absentéisme	 absenteeism
absentéisme	 lack, absence
absentéisme	 abstention, nonparticipation (from a vote, etc.)
absentéiste	 absentee (attributive)
absidal	 apsidal
absinthe	 wormwood (''Artemisia absinthium'')
absinthe	 See ''absinther''
absinthique	 Containing wormwood
absolu	 absolute
absolument	 absolutely; totally; completely
absolutisme	 absolutism
absolutiste	 absolutist
absolutiste	 absolutist
absorbabilité	 absorbability
absorbance	 the fact of being absorbent
absorber	 to absorb
absorbeur	 absorber
absorptivité	 absorptivity
absoudre	 to absolve
abstenir	 (pronominal verb|pronominal) to abstain
abstentionnisme	 abstentionism
abstentionniste	 abstentionist
abstersif	 abstergent
abstersif	 abstergent (a substance used in cleansing)
abstractionnisme	 abstractionism
abstractionniste	 abstractionist (related to abstract art)
abstractivement	 abstractively
abstrait	 abstract
abstraitement	 abstractly
abstruse	 feminine inflection of abstrus
absurde	 absurd (contrary to reason or propriety)
absurdement	 absurdly
absurdité	 absurdity
absurdité	 nonsense (meaningless words)
abus sexuel	 sexual abuse
abuser	 to abuse (use improperly)
abuseur	 abuser
abusif	 abusive
abusive	 Feminine singular form of abusif
abusivement	 abusively
abysse	 abyss
abysse	 deep sea
abyssin	 Abyssinian
abyssinien	 Abyssinian
abyssopélagique	 abyssopelagic
abâtardi	 Having suffered change; defiled; bastardized.
abâtardir	 To cause something's qualities or defining characteristics to degenerate; to defile or degrade; to bastardize.
abâtardissement	 bastardization
abécédaire	 An alphabet primer.
abélia	 A shrub member of ''Abelia''.
abélite	 Abelian (member of a sect living like Abel)
abélonien	 Abelian (member of a sect living like Abel)
abénaquis	 Abenaki
abénaquis	 the Abenaki language
abêtissant	 Slowly rendering dumb, foolish, dim-witted.
abêtissement	 Process or result of slowly rendering dim-witted and foolish.
abîmer	 To damage.
acabit	 kind, type, sort
acacia	 acacia
acadien	 Acadian (of or pertaining to Acadia)
académicien	 academician (member of an academy)
académie	 academy (learned society)
académique	 academic
académique	 academic
académiquement	 academically
académiser	 to academicize
académisme	 academicism
académiste	 A scholar at an academy
académiste	 An academician
acajou	 cashew tree; also, its fruit
acajou	 mahogany tree; also, its timber
acanthe	 Any of various species of plants in the genus ''Acanthus'' of the Acanthaceae; acanthus, bear's breeches.
acarien	 mite (an arachnid)
acariâtre	 cantankerous, ill-tempered
acarophobie	 acarophobia
acatalectique	 acatalectic
acatène	 chainless
accablant	 overwhelming
accablement	 consternation, overwhelming despondency
accabler	 to devastate, overwhelm
accabler	 (of testimony etc.) to condemn (someone)
accablé	 stricken
accablé	 afflicted
accalmie	 lull 
accaparement	 monopolization, cornering (of a market)
accaparement	 acquisition, occupation, grabbing
accaparer	 to monopolize, to corner
accaparer	 to occupy, to grab, to aquire (often with force or money)
accaparer	 to engross, to preoccupy
accapareur	 monopolist
accastillage	 hardware
accent grave	 grave accent
accent aigu	 acute accent
accentuation	 stressing, accenting
accentuer	 To accentuate (emphasize)
accentuer	 To accent (put an accent on a letter or symbol etc.)
accentué	 pronounced, marked, accented
acceptabilité	 acceptability
accessibilité	 accessibility
accessoire	 accessory
accessoire	 accessory (having a supplementary function)
accessoirement	 accessorily
accessoiriser	 To accessorize (with)
accessoirisé	 accessorized (with)
accidentel	 accidental (happening by chance)
accidentellement	 accidentally (unexpectedly, unintentionally)
accidenté	 eventful (story)
accise	 excise, excise tax
acclamer	 to acclaim, applaud (to shout applause)
